1826,TEDGlobal 2013,Elizabeth Loftus,How reliable is your memory?
2035,TEDxColumbus,Chris Domas,The 1s and 0s behind cyber warfare
2211,TEDxPlaceDesNations,Vincent Cochetel,I was held hostage for 317 days. Here's what I thought about…
2612,TEDxSydney,Kelli Jean Drinkwater,Enough with the fear of fat
878,TED2010,Michael Sandel,The lost art of democratic debate
1788,TEDGlobal 2013,Bernie Krause,The voice of the natural world
1339,TEDxWomen 2011,Gayle Tzemach Lemmon,"Women entrepreneurs, example not exception"
1189,TEDGlobal 2011,Maajid Nawaz,A global culture to fight extremism
1632,TEDGlobal 2012,Robin Chase,"Excuse me, may I rent your car?"
1735,TEDxMiamiUniversity,Timothy Bartik,The economic case for preschool
2420,TEDMED 2015,Judson Brewer,A simple way to break a bad habit
2540,TED@BCG Paris,Lisa Dyson,A forgotten Space Age technology could change how we grow food
285,TED2007,Adam Grosser,A mobile fridge for vaccines
1330,TEDSalon NY2011,Sheena Iyengar,How to make choosing easier
2157,TEDGlobal 2014,Mundano,Trash cart superheroes
943,RSA Animate,Jeremy Rifkin,The empathic civilization
479,TED Studio,Rainn Wilson,Ideas worth dating
1311,TEDxRC2,Alberto Cairo,There are no scraps of men
1964,TED2014,Bill and Melinda Gates,Why giving away our wealth has been the most satisfying thing we've done
939,Mission Blue Voyage,Jim Toomey,Learning from Sherman the shark
797,TEDMED 2009,Eric Dishman,Take health care off the mainframe
2668,TED@IBM,Caleb Barlow,Where is cybercrime really coming from?
792,TEDMED 2009,Eric Mead,The magic of the placebo
1760,TED2013,Martin Villeneuve,How I made an impossible film
2475,TED2016,Parag Khanna,How megacities are changing the map of the world
2559,TEDxBend,Molly Winter,The taboo secret to better health
1985,TED2014,Wendy Chung,Autism — what we know (and what we don't know yet)
1944,TEDGlobal 2013,Toby Shapshak,You don't need an app for that
2236,TED2015,Sophie Scott,Why we laugh
2618,TEDxNewYork,Ian Bremmer,How the US should use its superpower status
2308,TEDWomen 2015,Rich Benjamin,My road trip through the whitest towns in America
379,TED1998,Paul MacCready,Nature vs. humans
1820,TED2013,James Lyne,Everyday cybercrime -- and what you can do about it
1855,TEDGlobal 2013,Mariana Mazzucato,"Government -- investor, risk-taker, innovator"
1016,TEDxNextGenerationAsheville,Birke Baehr,What's wrong with our food system
1315,TEDxZurich 2011,Sebastian Wernicke,"1,000 TED Talks in six words"
1401,TED2012,Donald Sadoway,The missing link to renewable energy
2825,TED2017,Marc Raibert,"Meet Spot, the robot dog that can run, hop and open doors"
653,TEDGlobal 2009,Beau Lotto,Optical illusions show how we see
714,TEDIndia 2009,Alexis Ohanian,How to make a splash in social media
275,TEDxCanberra,Thomas Pogge,Medicine for the 99 percent
1696,TEDMED 2012,Francis Collins,We need better drugs -- now
1154,TEDWomen 2010,Shirin Neshat,Art in exile
1763,TED2013,Camille Seaman,Photos from a storm chaser
2065,TEDSalon Berlin 2014,Rose Goslinga,"Crop insurance, an idea worth seeding"
29,TED2004,Steven Levitt,The freakonomics of crack dealing
438,TEDWomen 2015,Jimmy Carter,Why I believe the mistreatment of women is the number one human rights abuse 
107,TED2009,Yves Behar,A supercharged motorcycle design
675,Chautauqua Institution,James Forbes,Compassion at the dinner table
1077,TED@MotorCity,Lisa Gansky,"The future of business is the ""mesh"""
159,TEDGlobal 2007,Andrew Mwenda,Aid for Africa? No thanks.
2013,TEDGlobal 2013,Stephen Burt,Why people need poetry
168,TEDGlobal 2007,Zeresenay Alemseged,The search for humanity's roots
2346,TEDxPenn,Vijay Kumar,The future of flying robots
1192,TEDGlobal 2011,Mikko Hypponen,"Fighting viruses, defending the net"
1898,TEDWomen 2013,Maysoon Zayid,I got 99 problems ... palsy is just one
743,TEDIndia 2009,Ravin Agrawal,10 young Indian artists to watch
2655,TEDxCambridge,David Autor,Will automation take away all our jobs?
2488,TED2016,Ameera Harouda,Why I put myself in danger to tell the stories of Gaza
2625,TEDNYC,Jonathan Haidt,Can a divided America heal?
425,TED2015,Donald Hoffman,Do we see reality as it is?
2527,TED2016,Chris Milk,The birth of virtual reality as an art form
1437,TEDxAthens,Rory Sutherland,Perspective is everything
135,Web 2.0 Expo 2008,Gary Vaynerchuk,Do what you love (no excuses!)
162,TED2007,Theo Jansen,"My creations, a new form of life"
1124,INK Conference,Susan Lim,"Transplant cells, not organs"
1945,TEDGlobal 2013,Carin Bondar,The birds and the bees are just the beginning
