Mike Matas,Software engineer
Grady Booch,"Scientist, philosopher"
Eric Sanderson,Landscape ecologist
Jacqueline Novogratz,Investor and advocate for moral leadership
Saul Griffith,Inventor
Sean Gourley,Physicist and military theorist
Richard Turere,Inventor
James Veitch,Comedian and writer
Sofi Tukker,Band
Michael Green,Social progress expert
Wayne McGregor,Dancer and Choreographer
Armando Azua-Bustos,Astrobiologist
William Black,Academic
Leyla Acaroglu,Sustainability strategist
Cathy O'Neil,"Mathematician, data scientist"
Paul Romer,"Chief Economist and Senior Vice President, World Bank"
Jimmy Nelson,Last tribes photographer
Shereen El-Feki,Arab sexuality expert
Naomi Klein,"Author, Activist "
Gavin Pretor-Pinney,Cloudspotter
Kirk Sorensen,"Engineer, nuclear technologist"
Burt Rutan,Aircraft engineer
Sergey Brin,"Computer scientist, entrepreneur and philanthropist"
Rodrigo Bijou,Security researcher 
Baba Shiv,Neuroeconomist
Tony Fadell,Product creator
Yves Behar,Designer
Benjamin Barber,Political theorist
Jeffrey Kluger,"Senior Editor, TIME Magazine"
Siddhartha Mukherjee,Cancer physician and writer
Bonnie Bassler,Molecular biologist
Ken Goldberg,Roboticist
Timothy Prestero,Designer
Yossi Vardi,Investor
John La Grou,Inventor
Jessi Arrington,Designer
Andrew Stanton,Filmmaker
Karina Galperin,Literary scholar
Joseph Kim,North Korean refugee
Diane Kelly,Biologist
Alexander Tsiaras,Medical image maker
Joshua Prince-Ramus,Architect
Sergey Brin + Larry Page,"Computer scientist, entrepreneur and philanthropist"
Hetain Patel,Artist
Graham Hawkes,Inventor
Bill Gates,Philanthropist
David Logan,Professor of management
Matt Weinstein,Motivational speaker
Sebastian Deterding,Designer
Steven Pinker,Psychologist
Robert Neuwirth,Author
Joshua Foer,Writer
Prosanta Chakrabarty,Ichthyologist
Margaret Gould Stewart,User experience master
Kelli Anderson,"Artist, designer"
Kevin Rudd,International relations expert 
Bono,"Musician, activist"
Aakash Odedra,Choreographer
Laura Galante,Cyberspace analyst
Denis Dutton,Philosopher
Bunker Roy,Educator
Bill Strickland,Social innovator
Manal al-Sharif,Women’s rights activist
Neil Burgess,Neuroscientist
Munir Virani,"Raptor biologist, wildlife photographer"
Shyam Sankar,Data Intelligence Agent
Camille Seaman,Photographer
Ziyah Gafić,Photographer + storyteller
David Pogue,Technology columnist
David Agus,Cancer Doctor
Elif Shafak,Novelist
Angelo Vermeulen,"Space researcher, biologist, artist"
Tim Berners-Lee,Inventor
Jimmy Lin,Geneticist
Willie Smits,Conservationist
Travis Kalanick,Entrepreneur
James Forbes,Preacher
Oscar Schwartz,Writer and poet
Meron Gribetz,"Founder and CEO, Meta"
Eames Demetrios,Artist
Bjarke Ingels,Architect
Fawn Qiu,Technologist
Emily Esfahani Smith,Author
Alison Killing,Architect
Sarah Parcak,Satellite archaeologist + TED Prize winner
Daniel Reisel,Neuroscientist
Sara Seager,Exoplanet expert
Dalia Mogahed,Muslim studies scholar
Shai Reshef,Education entrepreneur
Alanna Shaikh,Global health and development specialist
Ed Gavagan,"Designer, Storyteller"
Michael Murphy,Designer
Stephen Petranek,Technology forecaster 
Cheyenne Cochrane,Storyteller
Charles Limb,Researcher
Garth Lenz,Photographer
Temple Grandin,"Livestock handling designer, autism activist"
Skylar Tibbits,Inventor
Marlon Peterson,Human justice advocate
Melinda Gates,Philanthropist
Isabel Behncke,Primatologist
Amy Green,Video game designer
Rebecca Onie,Health services innovator
Iwan Baan,Urban documentarian
Ed Yong,Science writer
Clay Shirky,Social Media Theorist
Sue Klebold,Activist
Hillel Cooperman,"Entrepreneur, Lego enthusiast"
Ben Wellington,Data scientist
Jamais Cascio,World-builder
Sisonke Msimang,"Writer, activist"
Graham Hill,Journalist
Ashraf Ghani,President-elect of Afghanistan
Nina Fedoroff,Molecular biologist
Nicole Paris and Ed Cage,Beatboxers
Birke Baehr,Aspiring organic farmer
Amory Lovins,"Physicist, energy guru"
Quixotic Fusion,Performance ensemble
Jonathan Rossiter,Roboticist
Patricia Burchat,Particle physicist
"Tom Shannon, John Hockenberry",Sculptor
Mae Jemison,"Astronaut, engineer, entrepreneur, physician and educator"
Anab Jain,"Futurist, designer"
Jim Al-Khalili,Quantum physicist
Niki Okuk,Entrepreneur
Gill Hicks,Survivor and activist
Brewster Kahle,Digital librarian
John Wilbanks,Data Commons Advocate
Kate Hartman,Artist and technologist
Michael Bodekaer,Entrepreneur
Bassam Tariq,Creative spirit
Diana Laufenberg,Educator
Larry Burns,Automotive researcher
Ramanan Laxminarayan,Drug-resistance economist
Ray Dalio,Hedge fund chair
Jorge Ramos,"Journalist, news anchor"
Diane Benscoter,Deprogrammer
Haley Van Dyck,Disrupter
Chrystia Freeland,Plutocracy chronicler
Tracy Chevalier,Author
Michael Pawlyn,Architect
Elizabeth Lesser,Wellness specialist
JoAnn Kuchera-Morin,Composer
Jeremy Jackson,Marine ecologist
Regina Dugan,Former director of DARPA
Kristina Gjerde,High seas policy advisor
Maya Penn,"Entrepreneur, animator, philanthropist ..."
Helen Fisher,"Anthropologist, expert on love"
Elaine Morgan,Aquatic ape theorist
Woody Norris,Inventor
Nathalie Miebach,Artist
R. Luke DuBois,"Artist, composer, engineer"
Jocelyne Bloch,Functional neurosurgeon
James Watson,"Biologist, Nobel laureate"
Anjali Tripathi,Astrophysicist
Daniel Pauly,Fisheries biologist
Jon Gosier,"Investor, data scientist, entrepreneur"
Boniface Mwangi,
David Baron,Science writer
Bryan Stevenson,Public-interest lawyer
Andrew Fitzgerald,Editor
Enrique Peñalosa,"Colombian politician, urban activist"
Barry Schwartz,Psychologist
Christopher Emdin,Education pioneer
JD Schramm,Communicator
Susan Colantuono,Leadership expert
Ameera Harouda,Fixer
Erik Johansson,Photographer and retoucher
Roger Antonsen,"Logician, mathematician, computer scientist"
Krista Donaldson,Engineer
Catherine Mohr,Roboticist
Sandra Aamodt,Neuroscientist and science writer
Shimpei Takahashi,Toy designer
Rob Reid,"Author, entrepreneur"
Jon Ronson,Writer and filmmaker
Henry Lin,Student scientist
Majora Carter,Activist for environmental justice
Pamela Ronald,Plant geneticist
Scott Fraser,"Forensic psychologist, expert witness"
Matthew Williams,Special Olympics International Sargent Shriver Global Messenger
David Kwong,Cruciverbalist
Noy Thrupkaew,Global journalist
Susan Savage-Rumbaugh,Primate authority
Jia Jiang,"Author, blogger, entrepreneur"
Ricardo Semler,Organizational changemaker
Trevor Timm,"Writer, activist and legal analyst﻿"
Anil Gupta,Innovation advocate
Arunachalam Muruganantham,Inventor
David MacKay,Professor
Ramona Pierson,Education innovator
Maysoon Zayid,Comedian and writer 
David Steindl-Rast,Monk
Navi Radjou,Innovation strategist
Peter Doolittle,Educational psychology professor
Tim Harford,"Economist, journalist and broadcaster"
Adam Davidson,Journalist
Ivan Coyote,"Writer, performer"
Barbara Block,Marine biologist
Dan Bell,Filmmaker
Sandra Fisher-Martins,"Translator, plain language activist"
Luma Mufleh,Refugee activist
Danielle Feinberg,"Director of photography, Pixar"
Steve Keil,Entrepreneur
Daniel Libeskind,Architect
Lesley Hazleton,"Writer, psychologist"
Linda Cliatt-Wayman,High school principal
Bruce Schneier,Security expert
Vernā Myers,Diversity advocate
Carol Fishman Cohen,"CEO and co-founder, iRelaunch"
Peter Singer,"Philosopher, ethicist"
Matt Cutts,Technologist
Todd Scott,First aid instructor
Dan Meyer,Educator
Fahad Al-Attiya,Food security expert
David S. Rose,Angel Investor
Jarrett J. Krosoczka,Author/illustrator
Chris Jordan,Artist
Salvatore Iaconesi,Open-source engineer and artist
Shah Rukh Khan,"Actor, producer, activist"
Jill Bolte Taylor,Neuroanatomist
Del Harvey,Security maven
Laurie Garrett,Science journalist
Shivani Siroya,Mobile finance entrepreneur
Ariel Garten,"Artist, scientist and entrepreneur"
Arthur Ganson,Sculptor
Scott Kim,Puzzlemaster
Beau Lotto + Amy O'Toole,"Neuroscientist, Artist"
Sean Follmer,Human-computer interaction researcher and designer
Robert Waldinger,"Psychiatrist, psychoanalyst and Zen priest"
Mike deGruy,Filmmaker
Jenni Chang and Lisa Dazols,Documentary filmmakers
Vilayanur Ramachandran,Brain expert
Wanis Kabbaj,Transportation geek
Mathieu Lehanneur,Designer
Moshe Szyf,Epigeneticist
Monica Lewinsky,Social activist
Victor Rios,"Educator, author"
"Christopher ""moot"" Poole""","Founder, 4chan"
Thom Mayne,Architect
Joel Selanikio,Health and technology activist
Siamak Hariri,Architect
Shigeru Ban,Architect
Arthur Brooks,"Social scientist, author "
Gary Wolf,Journalist
Stephen Palumbi,Marine biologist
Stefan Wolff,Ethnic conflicts scholar
Juliana Machado Ferreira,Biologist
Colin Camerer,Behavioral economist
Cynthia Schneider,Cultural diplomacy expert
Markham Nolan,Journalist
Kamal Meattle,Business owner and activist
